Year,WaterUse_m3,WaterUse_z,radius_m
2018,11525289.070195697,-0.32487830388079086,6000
2019,11578883.98019881,-0.3038125851388078,6000
1990,20633541.04053087,1.30242235940227,7000
1991,22864659.26419381,1.9572035475622558,7000
1992,10849163.781489639,-1.569064278613032,7000
1993,7335437.982136859,-2.6002608908622022,7000
1994,20636091.502928916,1.3031708606612518,7000
1995,18862015.546685565,0.7825209236946774,7000
1996,13097107.534410233,-0.9093451898425348,7000
1997,12947774.897656066,-0.9531708375773401,7000
1998,15188909.71072212,-0.29545001392824294,7000
1999,13764010.443486974,-0.7136247324677089,7000
2000,19243095.179284506,0.8943589123634487,7000
2001,17984152.270869076,0.5248885164628246,7000
2002,19939982.65276685,1.098879140409202,7000
2003,18685948.166509826,0.7308492519898869,7000
2004,13962928.468291996,-0.6552469292446973,7000
2005,16756828.955297085,0.1646977339648335,7000
2006,15492403.561539426,-0.2063816435793364,7000
2007,15706346.925645487,-0.14359425353313585,7000
2008,13686862.08743207,-0.7362659765337836,7000
2009,15327584.300275642,-0.25475225459284556,7000
2010,18061415.05534095,0.5475633426017935,7000
2011,20634027.265011437,1.3025650549527434,7000
2012,19302960.71259516,0.9119280508408475,7000
2013,14578135.200237768,-0.4746980947476463,7000
2014,16579503.121835764,0.11265673555703065,7000
2015,15785655.641759377,-0.12031899415076219,7000
2016,11606180.509751307,-1.346897515986542,7000
2017,17652089.585427403,0.42743585913114324,7000
2018,14406902.65371855,-0.52495085548097975,7000
2019,14297296.08453695,-0.5571178284534126,7000
1990,25836896.799128078,1.2446351048796973,8000
1991,28848779.155234925,1.951431369673668,8000
1992,13685854.324317956,-1.6068412873290316,8000
1993,9695040.1931807,-2.5433627672120735,8000
1994,26281199.52655359,1.3488993061508392,8000
1995,23370150.26310938,0.6657654706403606,8000
1996,16514916.925877212,-0.9429472027556103,8000
1997,16703192.272273652,-0.8987647627223933,8000
1998,19662927.133989636,-0.20420591290550325,8000
1999,17193487.252178118,-0.7837075926635845,8000
2000,23989486.655725554,0.8111046961464699,8000
2001,22648333.3360648,0.49637721187728456,8000
2002,25496651.925890245,1.164790085358202,8000
2003,24206624.275629334,0.862060225130883,8000
2004,18028929.03359636,-0.5876550711027834,8000
2005,21396410.80384989,0.20258945227678404,8000
2006,19846659.210884858,-0.16108963865625275,8000
2007,20089612.22991449,-0.10407602853884923,8000
2008,17223812.294948086,-0.7765912367023124,8000
2009,19178369.2333099,-0.31791676671173885,8000
2010,22863702.05910598,0.5469176351080628,8000
2011,26032325.16651382,1.2904961392002974,8000
2012,24811941.008186653,1.0041094671012178,8000
2013,18836032.368425243,-0.39825271240734467,8000
2014,20916021.460890517,0.08985683091058941,8000
2015,19753610.577957246,-0.18292529437636215,8000
2016,14733625.615133075,-1.3609615526159764,8000
2017,22077990.54120894,0.36253527869588964,8000
2018,17920988.358194523,-0.6129854317122102,8000
2019,18149822.813688833,-0.5592850147382203,8000
1990,31165083.992686417,1.1910095893660266,9000
1991,34650472.30221393,1.8775258502003598,9000
1992,17494568.093811806,-1.5016692817133213,9000
1993,12384960.933341235,-2.5081076152986315,9000
1994,32481502.47179248,1.4503042824418835,9000
1995,28521988.710249413,0.6703996230769336,9000
1996,20807987.142795164,-0.84902577284883185,9000
1997,20269176.56579303,-0.9551551879301716,9000
1998,23988583.94265838,-0.22254423668973886,9000
1999,20812617.61504963,-0.8481137096249599,9000
2000,29485662.30594007,0.8602142247297437,9000
2001,28056546.787572425,0.5787216176396958,9000
2002,31084507.76573099,1.1751385055357495,9000
2003,29374915.120657656,0.8384003730764926,9000
2004,22453106.88280918,-0.524986856022294,9000
2005,26370201.055911325,0.24656242521649716,9000
2006,24352808.42795256,-0.15080301030616608,9000
2007,24856688.359172042,-0.05155387776484735,9000
2008,20797959.22647874,-0.8510009695850727,9000
2009,23287898.00975986,-0.3605582092958268,9000
2010,27790057.811116442,0.5262313355181806,9000
2011,31915679.00651587,1.3388541439846615,9000
2012,30279371.019262422,1.0165508763941198,9000
2013,22786848.12330334,-0.45924990846785607,9000
2014,25492910.61680365,0.07376269719894465,9000
2015,24255026.24303297,-0.1700631483469429,9000
2016,18065255.31900714,-1.3892611294061445,9000
2017,26549333.141674213,0.2818460374835229,9000
2018,21881178.510307353,-0.6376394768742436,9000
2019,21839803.058103874,-0.6457891916877739,9000
1990,34360059.18235977,1.1832235986488822,10000
1991,38016518.114365414,1.8404890892258599,10000
1992,19644261.96126916,-1.462009360236301,10000
1993,13876246.308263417,-2.4988369872729863,10000
1994,35670063.780007266,1.4187030148113904,10000
1995,31824093.155153494,0.7273719164739628,10000
1996,22996677.600570638,-0.8593970649096874,10000
1997,22143477.39948515,-1.0127637672725198,10000
1998,26542063.11250642,-0.22209753793023765,10000
1999,23274684.383224066,-0.8094240533752176,10000
2000,32455681.721980028,0.8409028973867853,10000
2001,30917755.776659835,0.5644535594565818,10000
2002,34746888.595203035,1.2527579838368408,10000
2003,32842523.546258513,0.9104395135879211,10000
2004,24917518.95231031,-0.5141169026409945,10000
2005,29056996.076190986,0.22997335330158475,10000
2006,27017227.236510295,-0.13668457777518417,10000
2007,27402928.01693587,-0.06735306951090725,10000
2008,22825293.23044861,-0.8902042021427841,10000
2009,25681022.13887978,-0.3768736556062445,10000
2010,30767287.56408727,0.5374061987746175,10000
2011,35581537.50120689,1.4027900046705197,10000
2012,32851243.801710498,0.9120070200427143,10000
2013,25141466.285239987,-0.47386132849710766,10000
2014,28149176.00010815,0.06678847450002681,10000
2015,26771579.024404477,-0.18084098583048427,10000
2016,20020985.305974238,-1.3942915877756197,10000
2017,29148202.508606765,0.24636813351388465,10000
2018,24091070.06530827,-0.6626749319401882,10000
2019,24594145.713759944,-0.5722447455151077,10000
