gagename,first_noflow_date,last_noflow_date,total_noflow_days
Granada (CO),NA,NA,NA
Pawnee near Burdett,2008-11-16,2008-11-29,14
Pawnee near Burdett,2008-12-04,2008-12-10,7
Pawnee near Burdett,2008-12-14,2008-12-26,13
Pawnee near Burdett,2008-12-28,2009-04-17,111
Pawnee near Burdett,2009-05-17,2009-06-11,26
Pawnee near Burdett,2009-07-01,2009-08-18,49
Pawnee near Burdett,2009-08-21,2009-09-07,18
Pawnee near Burdett,2009-09-26,2009-10-21,26
Pawnee near Burdett,2009-10-25,2009-10-25,1
Pawnee near Burdett,2009-11-14,2009-11-14,1
Pawnee near Burdett,2009-12-02,2009-12-20,19
Pawnee near Burdett,2009-12-26,2009-12-27,2
Pawnee near Burdett,2009-12-29,2010-01-17,20
Pawnee near Burdett,2010-01-27,2010-02-06,11
Pawnee near Burdett,2010-02-16,2010-04-21,65
Pawnee near Burdett,2010-05-06,2010-06-11,37
Pawnee near Burdett,2010-06-23,2010-08-23,62
Pawnee near Burdett,2010-08-26,2011-05-19,267
Pawnee near Burdett,2011-05-22,2012-04-03,318
Pawnee near Burdett,2012-04-05,2012-04-13,9
Pawnee near Burdett,2012-04-16,2012-07-08,84
Pawnee near Burdett,2012-07-12,2012-08-24,44
Pawnee near Burdett,2012-09-08,2013-05-30,265
Pawnee near Burdett,2013-06-06,2013-06-16,11
Pawnee near Burdett,2013-06-19,2014-06-30,377
Pawnee near Burdett,2014-07-03,2015-05-28,330
Pawnee near Burdett,2015-06-18,2015-07-24,37
Pawnee near Burdett,2015-08-09,2016-04-16,252
Pawnee near Burdett,2016-04-26,2016-04-28,3
Pawnee near Burdett,2016-05-09,2016-05-28,20
Pawnee near Burdett,2016-06-01,2016-07-01,31
Pawnee near Burdett,2016-07-17,2016-07-28,12
Pawnee near Burdett,2016-08-03,2016-08-06,4
Pawnee near Burdett,2016-08-15,2016-08-24,10
Pawnee near Burdett,2016-09-04,2017-03-28,206
Pawnee near Burdett,2017-03-30,2017-03-31,2
Pawnee near Burdett,2017-04-13,2017-04-28,16
Pawnee near Burdett,2017-06-02,2017-06-06,5
Pawnee near Burdett,2017-06-11,2017-07-02,22
Pawnee near Burdett,2017-07-05,2017-07-05,1
Pawnee near Burdett,2017-07-10,2017-09-24,77
Pawnee near Burdett,2017-09-27,2017-09-30,4
Pawnee near Burdett,2017-10-22,2018-07-06,258
Pawnee near Burdett,2018-07-09,2018-07-26,18
Pawnee near Burdett,2018-08-10,2018-08-18,9
Pawnee near Burdett,2018-09-01,2018-10-07,37
Pawnee near Burdett,2018-11-02,2018-11-12,11
Pawnee near Burdett,2018-12-09,2018-12-12,4
Pawnee near Burdett,2018-12-15,2018-12-26,12
Pawnee near Burdett,2019-08-22,2019-08-24,3
Pawnee near Burdett,2019-09-02,2019-12-05,95
Pawnee near Burdett,2020-06-14,2020-06-19,6
Pawnee near Burdett,2020-07-11,2020-07-14,4
Pawnee near Burdett,2020-08-27,2020-08-28,2
Pawnee near Burdett,2020-09-22,2020-09-22,1
Pawnee near Burdett,2020-09-26,2020-11-03,39
Pawnee near Burdett,2021-07-29,2021-08-05,8
Pawnee near Burdett,2021-08-09,2021-09-30,53
Buckner at Hanston,NA,2009-08-01,NA
Buckner at Hanston,2009-08-03,2009-08-17,15
Buckner at Hanston,2009-08-28,2009-09-07,11
Buckner at Hanston,2009-10-04,2009-10-16,13
Buckner at Hanston,2010-01-30,2010-02-02,4
Buckner at Hanston,2010-03-07,2010-03-30,24
Buckner at Hanston,2010-04-07,2010-04-15,9
Buckner at Hanston,2010-05-03,2010-05-16,14
Buckner at Hanston,2010-06-04,2010-06-11,8
Buckner at Hanston,2010-06-30,2010-07-05,6
Buckner at Hanston,2010-07-08,2010-07-14,7
Buckner at Hanston,2010-07-25,2010-08-23,30
Buckner at Hanston,2010-08-26,2011-01-26,154
Buckner at Hanston,2011-02-14,2011-02-15,2
Buckner at Hanston,2011-03-05,2011-05-18,75
Buckner at Hanston,2011-05-23,2012-03-21,304
Buckner at Hanston,2012-03-23,2012-04-01,10
Buckner at Hanston,2012-04-08,2012-04-13,6
Buckner at Hanston,2012-04-18,2012-08-23,128
Buckner at Hanston,2012-08-25,2012-10-12,49
Buckner at Hanston,2012-10-14,2013-07-28,288
Buckner at Hanston,2013-07-30,2013-08-03,5
Buckner at Hanston,2013-08-16,2014-05-11,269
Buckner at Hanston,2014-05-15,2014-06-30,47
Buckner at Hanston,2014-07-04,2014-07-18,15
Buckner at Hanston,2014-07-21,2015-05-24,308
Buckner at Hanston,2015-05-28,2015-05-28,1
Buckner at Hanston,2015-05-31,2015-06-01,2
Buckner at Hanston,2015-06-06,2015-06-13,8
Buckner at Hanston,2015-06-15,2015-07-26,42
Buckner at Hanston,2015-07-28,2016-04-15,263
Buckner at Hanston,2016-05-16,2016-05-16,1
Buckner at Hanston,2016-05-19,2016-05-20,2
Buckner at Hanston,2016-06-12,2016-06-24,13
Buckner at Hanston,2016-08-19,2016-08-26,8
Buckner at Hanston,2016-09-01,2016-09-01,1
Buckner at Hanston,2016-09-03,2016-09-23,21
Buckner at Hanston,2016-09-25,2016-11-30,67
Buckner at Hanston,2016-12-10,2016-12-12,3
Buckner at Hanston,2017-01-07,2017-01-11,5
Buckner at Hanston,2017-01-29,2017-01-29,1
Buckner at Hanston,2017-02-01,2017-03-28,56
Buckner at Hanston,2017-07-11,2017-07-16,6
Buckner at Hanston,2017-07-24,2017-09-24,63
Buckner at Hanston,2017-09-26,2017-09-28,3
Buckner at Hanston,2017-10-01,2017-10-03,3
Buckner at Hanston,2017-10-05,2017-10-05,1
Buckner at Hanston,2017-10-27,2017-10-28,2
Buckner at Hanston,2017-10-30,2017-11-01,3
Buckner at Hanston,2017-11-25,2017-11-29,5
Buckner at Hanston,2017-12-01,2017-12-09,9
Buckner at Hanston,2018-03-04,2018-03-20,17
Buckner at Hanston,2018-03-28,2018-03-31,4
Buckner at Hanston,2018-04-05,2018-04-11,7
Buckner at Hanston,2018-04-16,2018-04-18,3
Buckner at Hanston,2018-06-15,2018-06-22,8
Buckner at Hanston,2021-08-03,2021-08-06,4
Buckner at Hanston,2021-09-25,NA,NA
Buckner near Jetmore,NA,2009-08-17,NA
Buckner near Jetmore,2011-07-07,2011-07-09,3
Buckner near Jetmore,2011-07-11,2011-12-18,161
Buckner near Jetmore,2012-05-26,2013-06-16,387
Buckner near Jetmore,2013-06-21,2013-08-03,44
Buckner near Jetmore,2013-08-05,2013-08-05,1
Buckner near Jetmore,2013-08-12,2014-06-25,318
Buckner near Jetmore,2014-07-13,2014-07-15,3
Buckner near Jetmore,2014-07-25,2014-07-29,5
Buckner near Jetmore,2014-08-01,2014-08-07,7
Buckner near Jetmore,2014-08-09,2014-10-04,57
Buckner near Jetmore,2014-10-06,2015-02-05,123
Buckner near Jetmore,2015-04-02,2015-05-06,35
Buckner near Jetmore,2015-05-08,2015-05-13,6
Buckner near Jetmore,2015-05-15,2015-05-16,2
Buckner near Jetmore,2015-10-12,NA,NA
Buckner below Horsethief,NA,2009-09-13,NA
Buckner below Horsethief,2011-07-08,2011-11-10,126
Buckner below Horsethief,2012-06-28,2012-06-30,3
Buckner below Horsethief,2012-07-02,2012-07-08,7
Buckner below Horsethief,2012-07-16,2012-11-25,133
Buckner below Horsethief,2012-11-28,2012-11-28,1
Buckner below Horsethief,2013-02-11,2013-02-11,1
Buckner below Horsethief,2013-06-12,2013-06-12,1
Buckner below Horsethief,2013-07-16,2013-07-24,9
Buckner below Horsethief,2013-07-28,2013-08-03,7
Buckner below Horsethief,2013-08-24,2013-09-19,27
Buckner below Horsethief,2013-11-07,2013-11-08,2
Buckner below Horsethief,2014-07-26,2014-07-26,1
Buckner below Horsethief,2014-07-29,2014-07-29,1
Buckner below Horsethief,2014-08-02,2014-08-07,6
Buckner below Horsethief,2014-08-13,2014-09-15,34
Buckner below Horsethief,2020-12-27,2020-12-28,2
Buckner below Horsethief,2021-02-16,NA,NA
Buckner above Horsethief,NA,2010-08-03,NA
Buckner above Horsethief,2011-07-04,2011-09-18,77
Buckner above Horsethief,2011-10-04,2011-10-08,5
Buckner above Horsethief,2012-06-28,2012-06-30,3
Buckner above Horsethief,2012-07-05,2012-07-08,4
Buckner above Horsethief,2012-07-18,2012-09-13,58
Buckner above Horsethief,2012-09-15,2012-11-24,71
Buckner above Horsethief,2013-07-06,2013-08-03,29
Buckner above Horsethief,2013-08-22,2013-09-06,16
Buckner above Horsethief,2013-09-08,NA,NA
