gagename,first_noflow_date,last_noflow_date,total_noflow_days
Granada (CO),NA,NA,NA
Garden City,2001-09-11,2001-10-30,50
Garden City,2002-02-02,2002-02-03,2
Garden City,2002-03-28,2003-06-04,434
Garden City,2003-06-06,2007-02-05,1341
Garden City,2007-02-07,2007-02-07,1
Garden City,2007-02-09,2007-02-10,2
Garden City,2007-02-12,2007-02-15,4
Garden City,2007-02-18,2007-03-23,34
Garden City,2007-03-25,2007-04-12,19
Garden City,2007-04-15,2007-04-20,6
Garden City,2007-04-23,2007-05-28,36
Garden City,2007-05-31,2007-06-12,13
Garden City,2007-06-15,2007-06-18,4
Garden City,2007-06-20,2007-07-03,14
Garden City,2007-07-05,2007-07-11,7
Garden City,2007-07-14,2007-08-19,37
Garden City,2007-08-21,2007-08-22,2
Garden City,2007-08-25,2007-08-27,3
Garden City,2007-08-29,2007-09-16,19
Garden City,2007-09-19,2008-06-17,273
Garden City,2008-06-21,2008-07-17,27
Garden City,2008-07-19,2008-08-04,17
Garden City,2008-08-07,2008-08-08,2
Garden City,2008-08-10,2008-08-13,4
Garden City,2008-08-16,2008-08-16,1
Garden City,2008-08-19,2008-09-04,17
Garden City,2008-09-06,2008-10-11,36
Garden City,2008-10-15,2008-10-20,6
Garden City,2008-10-23,2009-03-27,156
Garden City,2009-03-29,2009-04-10,13
Garden City,2009-04-13,2009-04-15,3
Garden City,2009-04-19,2009-04-28,10
Garden City,2009-04-30,2009-05-03,4
Garden City,2009-05-06,2009-06-11,37
Garden City,2009-06-13,2009-06-13,1
Garden City,2009-06-15,2009-06-19,5
Garden City,2009-06-21,2009-07-25,35
Garden City,2009-07-28,2009-07-28,1
Garden City,2009-07-31,2009-08-05,6
Garden City,2009-08-07,2009-08-17,11
Garden City,2009-08-20,2009-09-02,14
Garden City,2009-09-04,2009-10-06,33
Garden City,2009-10-08,2009-10-12,5
Garden City,2009-10-14,2009-10-20,7
Garden City,2009-10-23,2009-10-24,2
Garden City,2009-10-26,2009-10-27,2
Garden City,2009-10-30,2009-11-14,16
Garden City,2009-11-16,2010-02-03,80
Garden City,2010-02-05,2010-02-11,7
Garden City,2010-02-16,2010-02-16,1
Garden City,2010-02-22,2010-02-23,2
Garden City,2010-04-04,2010-04-13,10
Garden City,2010-04-17,2010-04-21,5
Garden City,2010-04-23,2010-05-15,23
Garden City,2010-05-17,2010-05-18,2
Garden City,2010-05-20,2013-06-03,1111
Garden City,2013-06-05,2013-07-08,34
Garden City,2013-07-10,2013-09-10,63
Garden City,2013-09-13,2013-09-26,14
Garden City,2013-09-29,2013-10-09,11
Garden City,2013-10-12,2013-10-17,6
Garden City,2013-10-19,2013-11-04,17
Garden City,2013-11-06,2014-03-07,122
Garden City,2014-03-09,2014-04-05,28
Garden City,2014-04-08,2014-04-13,6
