Time [days],well,recharge,river
120.0,-6.518920555231223e-10,0.0038424384043220794,
121.0,-7.66124937426787e-10,0.003835557032018322,
122.0,-8.979106031282238e-10,0.0038286879834736887,
123.0,-1.0495558695958286e-09,0.003821831236616946,
124.0,-1.223616711072629e-09,0.0038149867694183826,
125.0,-1.4229187854152601e-09,0.0038081545598854794,
126.0,-1.6505790253424127e-09,0.00380133458606724,
127.0,-1.910028300303558e-09,0.003794526826049527,
128.0,-2.2050351512116634e-09,0.0037877312579601696,
129.0,-2.5397305967254617e-09,0.0037809478599634128,
130.0,-2.918634006133227e-09,0.0037741766102653562,
131.0,-3.346680030205202e-09,0.0037674174871089594,
132.0,-3.829246577663063e-09,0.0037606704687770387,
133.0,-4.372183821175341e-09,0.0037539355335914903,
134.0,-4.981844213056071e-09,0.0037472126599126243,
135.0,-5.665113487131101e-09,0.0037405018261394973,
136.0,-6.429442619567946e-09,0.003733803010710468,
137.0,-7.282880717843225e-09,0.0037271161921013096,
138.0,-8.234108803486296e-09,0.00372044134882743,
139.0,-9.292474450789929e-09,0.0037137784594428735,
140.0,-1.0468027240326213e-08,0.003707127502538654,
141.0,-1.177155498289304e-08,0.003700488456745976,
142.0,-1.321462066641233e-08,0.0036938613007323484,
143.0,-1.4809600075385049e-08,0.0036872460132055807,
144.0,-1.6569720029684017e-08,0.003680642572910009,
145.0,-1.8509097186883637e-08,0.003674050958628161,
146.0,-2.064277734987386e-08,0.003667471149182089,
147.0,-2.2986775219256143e-08,0.003660903123429704,
148.0,-2.5558114527941514e-08,0.0036543468602683316,
149.0,-2.8374868493536676e-08,0.0036478023386320446,
150.0,-3.145620052244963e-08,0.003641269537493441,
151.0,-3.4822405098149446e-08,0.0036347484358623117,
152.0,-3.849494878482518e-08,0.00362823901278575,
153.0,-4.249651127664627e-08,0.003621741247349819,
154.0,-4.6851026422006785e-08,0.0036152551186759974,
155.0,-5.158372315149184e-08,0.003608780605924622,
156.0,-5.672116623800349e-08,0.0036023176882929997,
157.0,-6.229129681718615e-08,0.003595866345015075,
158.0,-6.832347259638707e-08,0.0035894265553632065,
159.0,-7.484850768056376e-08,0.00358299829864539,
160.0,-8.189871194396083e-08,0.003576581554208036,
161.0,-8.950792987705912e-08,0.0035701763014334142,
162.0,-9.771157883891392e-08,0.00356378251974232,
