,obs,resid
2003-05-16,0.8264000000000351,-0.20393405124366826
2003-05-17,0.8593000000000757,-0.17202472917573264
2003-05-18,0.8541999999999916,-0.17724694222248427
2003-05-19,0.8461000000000922,-0.18490300184517405
2003-05-20,0.8435000000000628,-0.18636204973395643
2003-05-21,0.841600000000085,-0.18693475904148293
2003-05-22,0.8403000000000702,-0.18668772579506498
2003-05-23,0.8394000000000688,-0.18603566640791325
2003-05-24,0.8589000000000624,-0.17083537603719012
2003-05-25,0.874300000000062,-0.15787837985327435
2003-05-26,0.8731000000000222,-0.16048938460783635
2003-05-27,0.8727000000000089,-0.16145657889529108
2003-05-28,0.8736000000000104,-0.16037219627487342
2003-05-29,0.8713000000000193,-0.16155113214762196
2003-05-30,0.8711000000000695,-0.16003268788598746
2003-05-31,0.8663999999999987,-0.163425983121412
2003-06-01,0.8675000000000637,-0.16090283795934646
2003-06-02,0.8722000000000207,-0.15450361528984047
2003-06-03,0.8834000000000515,-0.14146776701037034
2003-06-04,0.8838000000000648,-0.13913252942782073
2003-06-05,0.8807000000000471,-0.1402110367485232
2003-06-06,0.8786000000000058,-0.1402359383870957
2003-06-07,0.8777000000000044,-0.1390557229676448
2003-06-08,0.8770000000000664,-0.1376500732334085
2003-06-09,0.8736000000000104,-0.13889470454711006
2003-06-10,0.8677999999999884,-0.14250795635036884
2003-06-11,0.8640000000000327,-0.14410376586469287
2003-06-12,0.8616000000000668,-0.14428297858927586
2003-06-13,0.8593000000000757,-0.14434951595399692
2003-06-14,0.8582999999999856,-0.14310793922933218
2003-06-15,0.8582999999999856,-0.14085888623635157
2003-06-16,0.8573000000000093,-0.1396025140956878
2003-06-17,0.8514999999999873,-0.14313950150563137
2003-06-18,0.8484000000000833,-0.14397026282427117
2003-06-19,0.8541999999999916,-0.13592981137605165
2003-06-20,0.8837000000000899,-0.10417261586155657
2003-06-21,0.8957000000000335,-0.08990210711527702
2003-06-22,0.8943000000000438,-0.08902038781948729
2003-06-23,0.8975000000000364,-0.0835275243377076
2003-06-24,0.8953000000000202,-0.08342653203916761
2003-06-25,0.8917999999999893,-0.0846185327903779
2003-06-26,0.8899000000000115,-0.08420409007622176
2003-06-27,0.8865000000000691,-0.08528327715326345
2003-06-28,0.8822999999999865,-0.08715625565590557
2003-06-29,0.8725000000000591,-0.09462330244460926
2003-06-30,0.8769000000000915,-0.0878846012965866
2003-07-01,0.8727000000000089,-0.08974025171077926
2003-07-02,0.8704999999999927,-0.08959028105642286
2003-07-03,0.8659000000000106,-0.09183472455723063
2003-07-04,0.856200000000058,-0.09917360818803278
2003-07-05,0.8532999999999902,-0.09970695784571948
2003-07-06,0.8484000000000833,-0.10223479867495833
2003-07-07,0.8435000000000628,-0.10475715574483058
2003-07-08,0.842200000000048,-0.10367405430098842
2003-07-09,0.8371000000000777,-0.10638552028566828
2003-07-10,0.8344000000000733,-0.10669158068942597
2003-07-11,0.8296000000000276,-0.10909226363224445
2003-07-12,0.8330000000000837,-0.10328759820979716
2003-07-13,0.8257000000000971,-0.10817761452493446
2003-07-14,0.8238000000000056,-0.10766234368332928
2003-07-15,0.8233000000000175,-0.10574181780375103
2003-07-16,0.8210000000000264,-0.10561607000562567
2003-07-17,0.8179000000000087,-0.10628513440012721
2003-07-18,0.8146000000000413,-0.1071490460805089
2003-07-19,0.8076000000000931,-0.11170784111218524
2003-07-20,0.8040000000000873,-0.11286155652219243
2003-07-21,0.8029999999999973,-0.11141023028852715
2003-07-22,0.8007000000000062,-0.11125454143816338
2003-07-23,0.7993999999999915,-0.11009359042062794
2003-07-24,0.797200000000089,-0.10982759756967386
2003-07-25,0.7934000000000196,-0.1111566220486937
2003-07-26,0.7894000000000005,-0.11268074015234042
2003-07-27,0.786200000000008,-0.11340003403837784
2003-07-28,0.7832000000000789,-0.11391456486779106
2003-07-29,0.7803000000000111,-0.11432438548410406
2003-07-30,0.779100000000085,-0.11302955179272267
2003-07-31,0.7762000000000171,-0.11343010328442293
2003-08-01,0.7793000000000347,-0.10787243573474292
2003-08-02,0.773900000000026,-0.11084329564137363
2003-08-03,0.7693000000000438,-0.1129819938327632
2003-08-04,0.767400000000066,-0.11239692226334785
2003-08-05,0.7642000000000735,-0.11309724555461642
2003-08-06,0.7620000000000573,-0.11278051506185349
2003-08-07,0.7570000000000618,-0.11525474405094194
2003-08-08,0.7553000000000338,-0.11442300061198463
2003-08-09,0.7526000000000295,-0.1145860521556612
2003-08-10,0.7501000000000886,-0.11454677787504419
2003-08-11,0.7470000000000709,-0.1151101975162252
2003-08-12,0.7426000000000386,-0.11697684438776701
2003-08-13,0.7531000000000176,-0.10394693619543016
2003-08-14,0.7386000000000195,-0.11592059223288054
2003-08-15,0.7338000000000875,-0.1181979014528638
2003-08-16,0.7321000000000595,-0.11737890915942195
2003-08-17,0.7365000000000919,-0.11046366212931247
2003-08-18,0.7375000000000682,-0.10695221223057771
2003-08-19,0.7317000000000462,-0.11024999276005776
2003-08-20,0.7296000000000049,-0.10990236189445479
2003-08-21,0.7286000000000286,-0.10843143176862657
2003-08-22,0.7243000000000848,-0.11024807214724408
2003-08-23,0.72300000000007,-0.10906242729962923
2003-08-24,0.7207000000000789,-0.10887829123589299
2003-08-25,0.7187999999999874,-0.10829620156809217
2003-08-26,0.7193000000000893,-0.1053173920592263
2003-08-27,0.7176000000000613,-0.10454242815454862
2003-08-28,0.7162000000000717,-0.10347165656701396
2003-08-29,0.7143000000000939,-0.10290560586056952
2003-08-30,0.7105999999999995,-0.10417464641744267
