,obs,resid
2003-05-16,0.8264000000000351,-0.18800029498861726
2003-05-17,0.8593000000000757,-0.15406392952837855
2003-05-18,0.8541999999999916,-0.15812230770236635
2003-05-19,0.8461000000000922,-0.16517543259438927
2003-05-20,0.8435000000000628,-0.1667232916613104
2003-05-21,0.841600000000085,-0.16756587283080915
2003-05-22,0.8403000000000702,-0.16780316102873272
2003-05-23,0.8394000000000688,-0.1676351422712301
2003-05-24,0.8589000000000624,-0.1470628476451008
2003-05-25,0.874300000000062,-0.1305845375651149
2003-05-26,0.8731000000000222,-0.13070068574917215
2003-05-27,0.8727000000000089,-0.13001138100681597
2003-05-28,0.8736000000000104,-0.12801666386793276
2003-05-29,0.8713000000000193,-0.12921655126183307
2003-05-30,0.8711000000000695,-0.12831105751979877
2003-05-31,0.8663999999999987,-0.1319001806811375
2003-06-01,0.8675000000000637,-0.12968391413275615
2003-06-02,0.8722000000000207,-0.12386225360321834
2003-06-03,0.8834000000000515,-0.11153519655634003
2003-06-04,0.8838000000000648,-0.11000274099946239
2003-06-05,0.8807000000000471,-0.11196488589594011
2003-06-06,0.8786000000000058,-0.11292163120288112
2003-06-07,0.8777000000000044,-0.1126729778741149
2003-06-08,0.8770000000000664,-0.11221892786352505
2003-06-09,0.8736000000000104,-0.1144594841229436
2003-06-10,0.8677999999999884,-0.11909465059916968
2003-06-11,0.8640000000000327,-0.12172443223022889
2003-06-12,0.8616000000000668,-0.12294883493819952
2003-06-13,0.8593000000000757,-0.12406786563588668
2003-06-14,0.8582999999999856,-0.12388153221188514
2003-06-15,0.8582999999999856,-0.122689843529324
2003-06-16,0.8573000000000093,-0.12249280942183116
2003-06-17,0.8514999999999873,-0.12709044068879116
2003-06-18,0.8484000000000833,-0.1289827490879638
2003-06-19,0.8541999999999916,-0.12196974733157973
2003-06-20,0.8837000000000899,-0.09125144908053606
2003-06-21,0.8957000000000335,-0.07802786893316771
2003-06-22,0.8943000000000438,-0.0781990221204758
2003-06-23,0.8975000000000364,-0.07376492544874935
2003-06-24,0.8953000000000202,-0.07472559630474329
2003-06-25,0.8917999999999893,-0.07698105307321779
2003-06-26,0.8899000000000115,-0.0776313147050578
2003-06-27,0.8865000000000691,-0.0797763974863015
2003-06-28,0.8822999999999865,-0.08271632746628743
2003-06-29,0.8725000000000591,-0.09125112679784753
2003-06-30,0.8769000000000915,-0.08558081777016202
2003-07-01,0.8727000000000089,-0.08850542364716674
2003-07-02,0.8704999999999927,-0.0894249689039972
2003-07-03,0.8659000000000106,-0.09273947904128477
2003-07-04,0.856200000000058,-0.10114898006800122
2003-07-05,0.8532999999999902,-0.102753498998986
2003-07-06,0.8484000000000833,-0.10635306376476006
2003-07-07,0.8435000000000628,-0.1099477029754965
2003-07-08,0.842200000000048,-0.10993744615849721
2003-07-09,0.8371000000000777,-0.1137223236793865
2003-07-10,0.8344000000000733,-0.11510236668897367
2003-07-11,0.8296000000000276,-0.11857760710566279
2003-07-12,0.8330000000000837,-0.11384807757164772
2003-07-13,0.8257000000000971,-0.11981381167899485
2003-07-14,0.8238000000000056,-0.12037484367885565
2003-07-15,0.8233000000000175,-0.11953120849940735
2003-07-16,0.8210000000000264,-0.12048294192763187
2003-07-17,0.8179000000000087,-0.12223008049214368
2003-07-18,0.8146000000000413,-0.12417266134564642
2003-07-19,0.8076000000000931,-0.1298107223794558
2003-07-20,0.8040000000000873,-0.1320443021995672
2003-07-21,0.8029999999999973,-0.13167344010242932
2003-07-22,0.8007000000000062,-0.1325981760705952
2003-07-23,0.7993999999999915,-0.13251855075932362
2003-07-24,0.797200000000089,-0.13333460548592946
2003-07-25,0.7934000000000196,-0.135746382220292
2003-07-26,0.7894000000000005,-0.13835392357369258
2003-07-27,0.786200000000008,-0.1401572727893976
2003-07-28,0.7832000000000789,-0.14175647373189548
2003-07-29,0.7803000000000111,-0.14325157087695306
2003-07-30,0.779100000000085,-0.14304260930041934
2003-07-31,0.7762000000000171,-0.14452963466892133
2003-08-01,0.7793000000000347,-0.14001269322819443
2003-08-02,0.773900000000026,-0.14399183179348274
2003-08-03,0.7693000000000438,-0.14716709773842673
2003-08-04,0.767400000000066,-0.14763853898472235
2003-08-05,0.7642000000000735,-0.1494062039913855
2003-08-06,0.7620000000000573,-0.1501701417440584
2003-08-07,0.7570000000000618,-0.15373040174420716
2003-08-08,0.7553000000000338,-0.1539870339985807
2003-08-09,0.7526000000000295,-0.15524008900805875
2003-08-10,0.7501000000000886,-0.1562896177570181
2003-08-11,0.7470000000000709,-0.15793567170256484
2003-08-12,0.7426000000000386,-0.16087830276314818
2003-08-13,0.7531000000000176,-0.14891756330781636
2003-08-14,0.7386000000000195,-0.1619535061451316
2003-08-15,0.7338000000000875,-0.1652861845119835
2003-08-16,0.7321000000000595,-0.16551565206263064
2003-08-17,0.7365000000000919,-0.15964196285693788
2003-08-18,0.7375000000000682,-0.15716517134961183
2003-08-19,0.7317000000000462,-0.1614853323784171
2003-08-20,0.7296000000000049,-0.16210250115290314
2003-08-21,0.7286000000000286,-0.16161673324269277
2003-08-22,0.7243000000000848,-0.1644280845660342
2003-08-23,0.72300000000007,-0.16423661137810885
2003-08-24,0.7207000000000789,-0.16504237025881885
2003-08-25,0.7187999999999874,-0.16544541810141666
2003-08-26,0.7193000000000893,-0.16344581209977083
2003-08-27,0.7176000000000613,-0.16364360973727354
2003-08-28,0.7162000000000717,-0.16353886877357482
2003-08-29,0.7143000000000939,-0.16393164723282094
2003-08-30,0.7105999999999995,-0.1661220033911599
