PDIV_ID,Year,WaterUse_m3
110,1990,29474.390539529584
110,1991,28597.309475608457
110,1992,16035.263888117763
110,1993,0
110,1994,14801.782050570242
110,1995,17218.346686886485
110,1996,18951.310480857515
110,1997,18510.687969677467
110,1998,20418.916559762205
110,1999,19667.51133236324
110,2000,19265.87861383915
110,2001,17719.53586626998
110,2002,18455.042343265548
110,2003,18216.939628890763
110,2004,13451.099924632283
110,2005,12948.775120219982
110,2006,0
110,2007,0
110,2008,0
110,2009,0
110,2010,0
110,2011,0
110,2012,0
110,2013,0
110,2014,0
110,2015,0
110,2016,0
110,2017,0
110,2018,0
110,2019,0
209,1990,197303.4925062426
209,1991,226891.0670069778
209,1992,100141.68629092629
209,1993,113687.42163462647
209,1994,236312.21224602306
209,1995,174804.489435369
209,1996,164806.4466816853
209,1997,145587.1286940275
209,1998,192863.1986435787
209,1999,211434.45328145943
209,2000,242331.02489874087
209,2001,235509.70389232825
209,2002,100837.14021950978
209,2003,221307.19968665132
209,2004,143803.42422741465
209,2005,242173.60077182937
209,2006,254713.99945356292
209,2007,256050.27144423898
209,2008,119133.78747646465
209,2009,230044.3627026125
209,2010,204141.24411411458
209,2011,237856.41434041306
209,2012,235903.40143096325
209,2013,203113.34258282543
209,2014,225829.96642432472
209,2015,223876.9535148749
209,2016,149868.0432620237
209,2017,223979.74366800344
209,2018,194992.9204856367
209,2019,178032.54521935832
539,1990,181082.22459465623
539,1991,228651.28580164048
539,1992,91940.20233282748
539,1993,77222.50195939068
539,1994,251786.9959720038
539,1995,200055.49049273666
539,1996,129374.18869931813
539,1997,116356.1404523407
539,1998,179186.48787988868
539,1999,125429.78443256867
539,2000,202928.6218156378
539,2001,182945.40672526485
539,2002,218543.46596183837
539,2003,239147.4894012973
539,2004,123370.51771365228
539,2005,201611.29678221326
539,2006,21486.025545171633
539,2007,26558.484007210045
539,2008,67933.0892236875
539,2009,165187.63814969055
539,2010,175482.07903589468
539,2011,228879.92497410843
539,2012,262332.0314478991
539,2013,114716.67645240873
539,2014,164218.57145843527
539,2015,162603.71266746157
539,2016,115083.48333671586
539,2017,185443.40324698025
539,2018,119479.48782325706
539,2019,179194.4372550899
572,1990,186605.90473481006
572,1991,177520.9045042937
572,1992,77040.80195478034
572,1993,61736.36198312267
572,1994,141843.351515702
572,1995,161713.00410319446
572,1996,119922.00304281844
572,1997,95733.18992906815
572,1998,59643.02651334115
572,1999,47310.138700414915
572,2000,176067.30446741017
572,2001,179156.20454578602
572,2002,167599.32716921653
572,2003,145170.73285012873
572,2004,120542.81139190373
572,2005,151851.99343632147
572,2006,131164.69082808227
572,2007,165710.4042046215
572,2008,95392.50242042377
572,2009,121375.60307970112
572,2010,224699.274739907
572,2011,264993.0147664585
572,2012,200132.42814208515
572,2013,75036.81178414081
572,2014,123759.34436726743
572,2015,163025.18286253102
572,2016,113994.27982001664
572,2017,168370.2708252365
572,2018,104537.58573215234
572,2019,148326.1909650893
692,1990,198121.1425269894
692,1991,285814.1072520512
692,1992,39710.53600758783
692,1993,21909.992222595734
692,1994,126913.6678035537
692,1995,64726.84122566769
692,1996,89078.42726021477
692,1997,62164.114077309496
692,1998,0
692,1999,81983.04208018135
692,2000,92427.15834518315
692,2001,3634.000092206626
692,2002,4254.808441291918
692,2003,16693.68792357415
692,2004,0
692,2005,55981.77142044298
692,2006,0
692,2007,8634.37286283264
692,2008,47283.4704393216
692,2009,62290.83279614977
692,2010,115433.3419638221
692,2011,190470.15374796334
692,2012,197871.04477324846
692,2013,146681.54851502637
692,2014,93230.66888796673
692,2015,77914.93607175168
692,2016,57973.646364733446
692,2017,118208.67609830401
692,2018,0
692,2019,42966.28400790528
804,1990,163643.56665217967
804,1991,148028.7225059791
804,1992,117949.80090944382
804,1993,98511.68583290112
804,1994,207626.32401816777
804,1995,206062.94689516586
804,1996,135287.0096826796
804,1997,134473.14507869614
804,1998,62254.96407961465
804,1999,176063.51905064806
804,2000,240941.77694682483
804,2001,217351.059681583
804,2002,269938.06934922247
804,2003,0
804,2004,0
804,2005,130827.78873620044
804,2006,154062.67682574768
804,2007,260482.09827596083
804,2008,187802.0964318275
804,2009,201365.2446926371
804,2010,238151.92479270263
804,2011,340464.16905537044
804,2012,71801.78515518247
804,2013,162042.3353615509
804,2014,226629.116166998
804,2015,185220.44219965604
804,2016,107729.17565011271
804,2017,155811.53937012164
804,2018,208595.39070942308
804,2019,218322.34084164395
939,1990,157117.50815325874
939,1991,152124.54344323705
939,1992,0
939,1993,12719.00032272316
939,1994,24643.063125276138
939,1995,94804.24865549782
939,1996,0
939,1997,51748.16131302227
939,1998,0
939,1999,0
939,2000,43864.652362991525
939,2001,41438.95730144362
939,2002,28884.03302923776
939,2003,19118.96848198656
939,2004,0
939,2005,40630.392280927634
939,2006,0
939,2007,0
939,2008,0
939,2009,0
939,2010,0
939,2011,132496.50738322988
939,2012,39368.62864839168
939,2013,0
939,2014,0
939,2015,0
939,2016,0
939,2017,0
939,2018,0
939,2019,0
997,1990,152809.24962727734
997,1991,189367.74480488698
997,1992,148469.5721421645
997,1993,112246.84721682433
997,1994,194890.13033250818
997,1995,191189.68481986562
997,1996,150484.78418079746
997,1997,124581.66559229954
997,1998,213392.35789572098
997,1999,113480.32905437186
997,2000,14698.991897441272
997,2001,149251.30234324993
997,2002,191189.68481986562
997,2003,192423.16665741315
997,2004,159119.1570436301
997,2005,170220.4935815578
997,2006,198590.57584515074
997,2007,167753.52990646273
997,2008,102378.99251644418
997,2009,168987.01174401026
997,2010,178854.8664443904
997,2011,213392.35789572098
997,2012,245462.88567195652
997,2013,189956.20298231812
997,2014,162819.60255627267
997,2015,144317.37499305987
997,2016,150484.78418079746
997,2017,218326.28524591107
997,2018,165286.5662313677
997,2019,191189.68481986562
1171,1990,25108.669387090114
1171,1991,31121.803914663244
1171,1992,11447.10029045086
1171,1993,0
1171,1994,0
1171,1995,0
1171,1996,13389.019089723768
1171,1997,76677.40194555967
1171,1998,138595.46393329228
1171,1999,90149.70020406316
1171,2000,0
1171,2001,94514.28573147382
1171,2002,152749.13720908517
1171,2003,0
1171,2004,67626.47046590757
1171,2005,37986.65721384733
1171,2006,77709.35576549378
1171,2007,74008.91025285122
1171,2008,45638.82798925825
1171,2009,75242.39209039873
1171,2010,50572.755339448326
1171,2011,8634.37286283264
1171,2012,154185.22969344002
1171,2013,29603.564101140484
1171,2014,43171.864314163206
1171,2015,19735.709400760323
1171,2016,0
1171,2017,98678.54700380162
1171,2018,71541.94657775617
1171,2019,76475.87392794625
1317,1990,172101.70186679042
1317,1991,219355.05931576435
1317,1992,81409.80127813634
1317,1993,135683.00213022722
1317,1994,210925.39422062595
1317,1995,199824.05768269827
1317,1996,140616.9294804173
1317,1997,134449.5202926797
1317,1998,171453.9754191053
1317,1999,149720.80379891227
1317,2000,161531.30409858446
1317,2001,196123.6121700557
1317,2002,236828.51280912387
1317,2003,215859.32157081604
1317,2004,120881.22007965698
1317,2005,159119.1570436301
1317,2006,191189.68481986562
1317,2007,141850.4113179648
1317,2008,109779.8835417293
1317,2009,146784.3386681549
1317,2010,210925.39422062595
1317,2011,220793.2489210061
1317,2012,213392.35789572098
1317,2013,0
1317,2014,0
1317,2015,0
1317,2016,0
1317,2017,0
1317,2018,0
1317,2019,0
1336,1990,0
1336,1991,0
1336,1992,0
1336,1993,0
1336,1994,0
1336,1995,0
1336,1996,0
1336,1997,0
1336,1998,0
1336,1999,0
1336,2000,0
1336,2001,0
1336,2002,0
1336,2003,0
1336,2004,0
1336,2005,0
1336,2006,0
1336,2007,0
1336,2008,0
1336,2009,0
1336,2010,0
1336,2011,0
1336,2012,0
1336,2013,0
1336,2014,0
1336,2015,0
1336,2016,0
1336,2017,0
1336,2018,0
1336,2019,0
1384,1990,192602.00488695054
1384,1991,169435.25429913413
1384,1992,57916.87646954299
1384,1993,0
1384,1994,182555.311957033
1384,1995,114713.81089191938
1384,1996,83582.00212075227
1384,1997,82673.5020977006
1384,1998,147631.25374589438
1384,1999,86466.48969394126
1384,2000,198590.57584515074
1384,2001,151718.266018345
1384,2002,141850.4113179648
1384,2003,119647.73824210945
1384,2004,99912.02884134914
1384,2005,167753.52990646273
1384,2006,82643.28311568385
1384,2007,141850.4113179648
1384,2008,118414.25640456194
1384,2009,99912.02884134914
1384,2010,167753.52990646273
1384,2011,226960.65810874372
1384,2012,226960.65810874372
1384,2013,86343.72862832641
1384,2014,122114.7019172045
1384,2015,0
1384,2016,0
1384,2017,0
1384,2018,0
1384,2019,0
1786,1990,248474.7563046278
1786,1991,285893.60100406816
1786,1992,88805.87725329927
1786,1993,98813.38354888953
1786,1994,90415.05791912951
1786,1995,198734.3800425501
1786,1996,201516.6613631456
1786,1997,105368.21121520721
1786,1998,176173.67467844355
1786,1999,140514.13932728875
1786,2000,208972.38131117614
1786,2001,197254.30385447468
1786,2002,229324.83163071022
1786,2003,224904.8550461641
1786,2004,137430.43473341997
1786,2005,223127.60566148668
1786,2006,172687.45725665282
1786,2007,210925.39422062595
1786,2008,152232.2167839902
1786,2009,177313.01414745604
1786,2010,218943.02616468482
1786,2011,218223.49509278254
1786,2012,224596.48458677722
1786,2013,201777.07059214808
1786,2014,201982.65089840643
1786,2015,189442.25221667287
1786,2016,154390.80999969837
1786,2017,215345.37080517082
1786,2018,121189.59053904386
1786,2019,198796.1561514091
1902,1990,167064.06923896825
1902,1991,199333.99005776338
1902,1992,226225.59074009248
1902,1993,108153.14232753681
1902,1994,149752.60129971954
1902,1995,260444.24410833273
1902,1996,197511.690428192
1902,1997,199764.01340200828
1902,1998,83876.76495323137
1902,1999,213392.35789572098
1902,2000,249163.33118459908
1902,2001,156652.19336853505
1902,2002,226960.65810874372
