Date,WaterYear,stage_masl,stage_cd,discharge_cms,discharge_cd
1999-01-08,1999,593.811376,A,2.2653477273600005,A e
1999-01-09,1999,593.780896,A,2.4069319603200006,A e
1999-01-10,1999,593.777848,A,2.5485161932800002,A e
1999-01-11,1999,593.811376,A,2.8316846592000005,A e
1999-01-12,1999,593.82052,A,2.9732688921600006,A e
1999-01-13,1999,593.80528,A,3.1148531251200007,A e
1999-01-14,1999,593.79004,A,3.1148531251200007,A e
1999-01-15,1999,593.6985999999999,A,3.1148531251200007,A e
1999-01-16,1999,593.686408,A,3.1431699717120005,A
1999-01-17,1999,593.689456,A,3.1714868183040004,A
1999-01-18,1999,593.686408,A,3.1431699717120005,A
1999-01-19,1999,593.689456,A,3.1714868183040004,A
1999-01-20,1999,593.689456,A,3.1714868183040004,A
1999-01-21,1999,593.695552,A,3.2564373580800003,A
1999-01-22,1999,593.692504,A,3.2281205114880005,A
1999-01-23,1999,593.686408,A,3.1431699717120005,A
1999-01-24,1999,593.680312,A,3.0582194319360005,A
1999-01-25,1999,593.677264,A,3.0299025853440003,A
1999-01-26,1999,593.680312,A,3.0582194319360005,A
1999-01-27,1999,593.680312,A,3.0582194319360005,A
1999-01-28,1999,593.680312,A,3.0582194319360005,A
1999-01-29,1999,593.701648,A,3.3413878978560003,A
1999-01-30,1999,593.735176,A,3.7944574433280005,A
1999-01-31,1999,593.735176,A,3.822774289920001,A
1999-02-01,1999,593.741272,A,3.8794079831040005,A
1999-02-02,1999,593.753464,A,4.077625909248001,A
1999-02-03,1999,593.762608,A,4.247526988800001,A
1999-02-04,1999,593.765656,A,4.275843835392001,A
1999-02-05,1999,593.768704,A,4.332477528576001,A
1999-02-06,1999,593.7748,A,4.417428068352001,A
1999-02-07,1999,593.777848,A,4.474061761536,A
1999-02-08,1999,593.783944,A,4.559012301312,A
1999-02-09,1999,593.786992,A,4.587329147904001,A
1999-02-10,1999,593.79004,A,4.643962841088,A
1999-02-11,1999,593.79004,A,4.643962841088,A
1999-02-12,1999,593.777848,A,4.474061761536,A
1999-02-13,1999,593.7748,A,4.38911122176,A
1999-02-14,1999,593.771752,A,4.360794375168001,A
1999-02-15,1999,593.768704,A,4.332477528576001,A
1999-02-16,1999,593.765656,A,4.247526988800001,A
1999-02-17,1999,593.762608,A,4.247526988800001,A
1999-02-18,1999,593.762608,A,4.219210142208,A
1999-02-19,1999,593.75956,A,4.162576449024001,A
1999-02-20,1999,593.756512,A,4.134259602432,A
1999-02-21,1999,593.753464,A,4.077625909248001,A
1999-02-22,1999,593.753464,A,4.077625909248001,A
1999-02-23,1999,593.750416,A,4.020992216064001,A
1999-02-24,1999,593.74432,A,3.9643585228800005,A
1999-02-25,1999,593.74432,A,3.9643585228800005,A
1999-02-26,1999,593.747368,A,3.9643585228800005,A
1999-02-27,1999,593.74432,A,3.9360416762880006,A
1999-02-28,1999,593.741272,A,3.8794079831040005,A
1999-03-01,1999,593.738224,A,3.8510911365120006,A
1999-03-02,1999,593.738224,A,3.8510911365120006,A
1999-03-03,1999,593.735176,A,3.7944574433280005,A
1999-03-04,1999,593.732128,A,3.7661405967360007,A
1999-03-05,1999,593.732128,A,3.7378237501440004,A
1999-03-06,1999,593.726032,A,3.6811900569600007,A
1999-03-07,1999,593.722984,A,3.6245563637760005,A
1999-03-08,1999,593.735176,A,3.822774289920001,A
1999-03-09,1999,593.732128,A,3.7378237501440004,A
1999-03-10,1999,593.732128,A,3.7661405967360007,A
1999-03-11,1999,593.735176,A,3.7944574433280005,A
1999-03-12,1999,593.747368,A,3.9926753694720007,A
1999-03-13,1999,593.762608,A,4.219210142208,A
1999-03-14,1999,593.753464,A,4.105942755840001,A
1999-03-15,1999,593.756512,A,4.105942755840001,A
1999-03-16,1999,593.756512,A,4.134259602432,A
1999-03-17,1999,593.768704,A,4.304160681984,A
1999-03-18,1999,593.832712,A,5.408517699072001,A
1999-03-19,1999,593.851,A,5.720003011584001,A
1999-03-20,1999,593.851,A,5.720003011584001,A
1999-03-21,1999,593.854048,A,5.748319858176001,A
1999-03-22,1999,593.847952,A,5.663369318400001,A
1999-03-23,1999,593.851,A,5.691686164992001,A
1999-03-24,1999,593.854048,A,5.748319858176001,A
1999-03-25,1999,593.847952,A,5.635052471808001,A
1999-03-26,1999,593.838808,A,5.493468238848001,A
1999-03-27,1999,593.83576,A,5.436834545664,A
1999-03-28,1999,593.838808,A,5.493468238848001,A
1999-03-29,1999,593.832712,A,5.351884005888,A
1999-03-30,1999,593.823568,A,5.210299772928001,A
1999-03-31,1999,593.817472,A,5.0970323865600005,A
1999-04-01,1999,593.814424,A,5.040398693376001,A
1999-04-02,1999,593.808328,A,4.983765000192001,A
1999-04-03,1999,593.808328,A,4.983765000192001,A
1999-04-04,1999,593.80528,A,4.9271313070080005,A
1999-04-05,1999,593.829664,A,5.351884005888,A
1999-04-06,1999,593.82052,A,5.153666079744001,A
1999-04-07,1999,593.82052,A,5.153666079744001,A
1999-04-08,1999,593.823568,A,5.238616619520001,A
1999-04-09,1999,593.823568,A,5.210299772928001,A
1999-04-10,1999,593.823568,A,5.210299772928001,A
1999-04-11,1999,593.817472,A,5.125349233152001,A
1999-04-12,1999,593.814424,A,5.040398693376001,A
1999-04-13,1999,593.811376,A,5.040398693376001,A
1999-04-14,1999,593.851,A,5.833270397952001,A
1999-04-15,1999,593.979016,A,9.004757216256001,A
1999-04-16,1999,594.305152,A,16.848523722240003,A
1999-04-17,1999,594.372208,A,18.434267131392,A
1999-04-18,1999,594.344776,A,17.811296506368002,A
1999-04-19,1999,594.296008,A,16.678622642688,A
1999-04-20,1999,594.1558,A,13.535452670976001,A
1999-04-21,1999,594.067408,A,11.779808182272001,A
1999-04-22,1999,594.027784,A,10.930302784512001,A
