,obs,resid
2007-01-16,1.3011999999999944,-0.18079751881260808
2007-01-17,1.2851000000000568,-0.12927121393145447
2007-01-18,1.2696000000000822,-0.10522980105129953
2007-01-19,1.2483000000000857,-0.15902514198145123
2007-01-20,1.2335000000000491,-0.18261040292279906
2007-01-21,1.2258000000000493,-0.17456064885888845
2007-01-22,1.2095000000000482,-0.17511312820384628
2007-01-23,1.1947999999999865,-0.17456632111200854
2007-01-24,1.1853000000000975,-0.17155106512135188
2007-01-25,1.1737000000000535,-0.17088923179835813
2007-01-26,1.1603000000000065,-0.17211192459391622
2007-01-27,1.1544000000000096,-0.1560880307928625
2007-01-28,1.1423000000000911,-0.13783759912921534
2007-01-29,1.134900000000016,-0.14462899255367345
2007-01-30,1.1254000000000133,-0.15352120995748653
2007-01-31,1.1186999999999898,-0.1596141931847459
2007-02-01,1.112700000000018,-0.16500996671624346
2007-02-02,1.1041000000000167,-0.17300847266097463
2007-02-03,1.0955000000000155,-0.18101018943815728
2007-02-04,1.087500000000091,-0.18841494858955166
2007-02-05,1.0807000000000926,-0.19462367993119
2007-02-06,1.0778000000000247,-0.19693590426696073
2007-02-07,1.0785000000000764,-0.19565037585248568
2007-02-08,1.0692000000000235,-0.20436361397111957
2007-02-09,1.0637000000000398,-0.2092754013533238
2007-02-10,1.0555000000000518,-0.21689193789391448
2007-02-11,1.0527000000000726,-0.2191132761337915
2007-02-12,1.0506000000000313,-0.22063920803716286
2007-02-13,1.0477000000000771,-0.22296941207463838
2007-02-14,1.0411000000000286,-0.22900717171232676
2007-02-15,1.0350000000000819,-0.2345503353748426
2007-02-16,1.032199999999989,-0.23679862822204933
2007-02-17,1.0323000000000775,-0.23615187124816206
2007-02-18,1.0255000000000791,-0.24241033932191947
2007-02-19,1.0392000000000507,-0.2281727045304751
2007-02-20,1.0429000000000315,-0.2239375412623219
2007-02-21,1.1758000000000948,-0.28241398058841627
2007-02-22,1.471300000000042,-0.38226504407734074
2007-02-23,1.6516000000000304,-0.34741346936899564
2007-02-24,1.6266000000000531,-0.19435423238356986
2007-02-25,2.168900000000008,0.07733128839813519
2007-02-26,2.4341000000000577,-0.025819124387132852
2007-02-27,2.2285000000000537,-0.022806127276043142
2007-02-28,2.0113000000000056,0.10020502537733966
2007-03-01,1.8865000000000691,0.052903380240563624
2007-03-02,1.7630000000000337,0.04820409663823888
2007-03-03,1.661200000000008,0.04380409902685267
2007-03-04,1.584600000000023,0.05113413984020054
2007-03-05,1.532100000000014,0.03456206884540158
2007-03-06,1.4922000000000253,0.024225673985956764
2007-03-07,1.457899999999995,0.018247129949110708
2007-03-08,1.4298000000000002,0.008799536931617169
2007-03-09,1.4121000000000095,-0.0016526161676191364
2007-03-10,1.3880000000000337,-0.02404371344043943
2007-03-11,1.3648000000000593,-0.04239903536364498
2007-03-12,1.364400000000046,-0.0467987544666304
2007-03-13,1.3543000000000802,-0.03962306236478286
2007-03-14,1.342800000000011,-0.05078246857002622
2007-03-15,1.3289000000000897,-0.04831482969716605
2007-03-16,1.3171000000000959,-0.05679930842101166
2007-03-17,1.311900000000037,-0.0474477621652003
2007-03-18,1.3051000000000386,-0.015408126655009013
2007-03-19,1.2983000000000402,-0.019718085473438673
2007-03-20,1.2882000000000744,-0.10333080370808334
2007-03-21,1.2853000000000065,-0.09250655628812599
2007-03-22,1.2777000000000953,-0.09704160074109769
2007-03-23,1.2725000000000364,-0.02870909537800692
2007-03-24,1.2667000000000144,-0.04160918763583954
2007-03-25,1.2635999999999967,-0.060568674756086516
2007-03-26,1.259999999999991,-0.03946776930082674
2007-03-27,1.2590000000000146,-0.024691523680469896
2007-03-28,1.2776000000000067,-0.13092922394507633
2007-03-29,1.2635999999999967,-0.06907570790653317
2007-03-30,1.4018000000000939,-0.07394861863793878
2007-03-31,2.3572000000000344,-0.04974939146878388
2007-04-01,2.900700000000029,0.24033255254476416
2007-04-02,3.581099999999992,0.2876601934006069
2007-04-03,3.8712000000000444,0.3200334744521438
2007-04-04,3.444500000000062,0.10926879690758584
2007-04-05,2.913099999999986,0.14552639761137875
2007-04-06,2.5185000000000173,0.17863342043451036
2007-04-07,2.342399999999998,0.2505615553604752
2007-04-08,2.23700000000008,0.298383700386899
2007-04-09,2.1440000000000055,0.26148326732396043
2007-04-10,2.0696000000000367,0.2897172270485644
2007-04-11,2.00870000000009,0.24900522158889027
2007-04-12,1.942600000000084,0.22282006290023926
2007-04-13,1.8858999999999924,0.19073147649955668
2007-04-14,1.8670000000000755,0.18456310251791086
2007-04-15,1.9003000000000156,0.17868140755475537
2007-04-16,2.2497000000000753,0.07693996675040049
2007-04-17,2.8426000000000613,0.20043318785482533
2007-04-18,2.981400000000008,0.2149467284356783
2007-04-19,3.029899999999998,0.17633746664809502
2007-04-20,2.6936000000000604,0.10516567678815214
2007-04-21,2.3951000000000704,0.141231742754099
2007-04-22,2.262100000000032,0.19196594629880304
2007-04-23,2.1603000000000065,0.21790399013564432
2007-04-24,2.0732000000000426,0.1761183937214117
2007-04-25,2.0031999999999925,0.1797101462733499
2007-04-26,1.941000000000031,0.16048386281362692
2007-04-27,1.963700000000017,0.0908760263268773
2007-04-28,1.8967999999999847,0.12934807638178736
2007-04-29,1.8351999999999862,0.13515541465963077
2007-04-30,1.790200000000027,0.12690324224754912
2007-05-01,1.7584000000000515,0.03870955025330325
2007-05-02,1.7338000000000875,0.08524284220276845
2007-05-03,1.7607000000000426,0.06657807459834775
2007-05-04,1.7443000000000666,0.0458452783141543
2007-05-05,1.7286000000000286,0.048559831734118486
